year,n_samples,fraction_significant_raw,fraction_significant_fdr,mean_stat,median_stat,drift_detected
2006,3114,0.97265625,0.97265625,0.0828204245827963,0.0763187499913301,True
2007,2316,0.97265625,0.9713541666666666,0.0898748473341044,0.0853854489568295,True
2008,4684,0.9986979166666666,0.9986979166666666,0.1083507026072201,0.1022435796938123,True
2009,1800,0.9479166666666666,0.9479166666666666,0.0918702160077193,0.0874766018718502,True
2010,1778,0.9778645833333334,0.9765625,0.1001336436427324,0.0935824909035398,True
2011,1284,0.97265625,0.97265625,0.1110291280377476,0.1044023020214457,True
2012,2096,0.9778645833333334,0.9778645833333334,0.1085198137631813,0.1045884649838699,True
2013,2942,0.9479166666666666,0.9466145833333334,0.0842185608878346,0.0812467565477155,True
2014,3186,0.9140625,0.91015625,0.0742348089200886,0.0706984119236562,True
2015,3112,0.9270833333333334,0.9244791666666666,0.076181301663926,0.0744368085514598,True
2016,2870,0.8815104166666666,0.87890625,0.0796672276126446,0.0749481574575079,True
2017,4150,0.9322916666666666,0.9283854166666666,0.054403975844583,0.0502019742035095,True
