year,count,mean,std,median,min,max,drift_flag
2011,17814,0.23291542,0.14418846,0.20708069,0.07251545,8.249189,False
2012,23099,0.236852,0.1293455,0.2123645,0.074728556,5.9088387,False
2013,29003,0.24366072,0.18846013,0.21769749,0.06648786,18.496994,False
2014,30602,0.25178275,0.14812057,0.2234497,0.06753272,6.2350006,False
2015,33263,0.25158936,0.16139601,0.2241785,0.06387078,13.230241,False
2016,28573,0.25457293,0.17792787,0.22403114,0.06929231,9.776511,False
2017,38648,0.33239523,0.2851285,0.26294497,0.06496199,11.929282,False
2018,375,0.46151942,0.46912414,0.29703155,0.089564525,3.3328736,True
