year,ordinary_swd,ordinary_z,ordinary_drift_95,latent_swd,latent_z,latent_drift_95
2006,0.1786506980768538,135.55092396859274,True,0.1157246769129863,112.64831246647483,True
2007,0.2063918666924416,158.99981582755206,True,0.1448802412609553,144.61912723606656,True
2008,0.2159860966289208,167.10957008368953,True,0.1497286162978235,149.93565955858438,True
2009,0.2299222701735399,178.88945689753626,True,0.1513329506934006,151.69490788515824,True
2010,0.2328288918357459,181.34634896205012,True,0.1638835065312871,165.45734071477486,True
2011,0.2198352926002,170.36319581680843,True,0.1568339338303229,157.72706390252043,True
2012,0.2287025546807269,177.85846295903298,True,0.151615814814678,152.00508526050896,True
2013,0.2122254944005604,163.93083034855687,True,0.1438845456549771,143.52728763366,True
2014,0.1998770871465815,153.49304128705936,True,0.1507149006072538,151.01717911315774,True
2015,0.2047942116701787,157.6493593862933,True,0.1444233173972267,144.1180829744386,True
2016,0.2101181102656573,162.14951308073046,True,0.1540697572139264,154.69597942277838,True
2017,0.11100980455282,78.37582729306136,True,0.096175140120137,91.211079690734,True
2018,0.1481089510019662,109.73477562002216,True,0.1195049699262254,116.79362916343904,True
