epoch,loss
1,0.6830266893287706
2,0.5778495850974311
3,0.5292196235966566
4,0.5040894936484208
5,0.480335220990075
6,0.4696130984510968
7,0.4447093916329958
8,0.4375691842717081
9,0.4346368333648351
10,0.4287967535588938
11,0.4188908880940441
12,0.4157805692372546
13,0.406257547216286
14,0.3942975749264793
15,0.3872927334671085
16,0.379747332551848
17,0.3718924209641807
18,0.366660872466618
19,0.3609928709748888
20,0.3546493665142358
21,0.3544346621255486
22,0.3459178461441025
23,0.3423902053674751
24,0.3401326624265771
25,0.33716262544659
26,0.3336015965700493
27,0.3309389312081193
28,0.3343857663743845
29,0.324699236138022
30,0.3228223799025809
31,0.3205209569964277
32,0.3167898719771179
33,0.313389932773139
34,0.3116906647513103
35,0.3103427474380914
36,0.3070749373259445
37,0.3049079241739388
38,0.3042756933130848
39,0.3025490703764507
40,0.3006384985548141
