year,count,mean,std,median,min,max,drift_flag
2011,1284,0.019234873,0.010258277,0.01691464,0.0059527564,0.11180721,False
2012,2096,0.019976577,0.013737981,0.017685646,0.006753157,0.32528323,False
2013,2942,0.022502074,0.02178463,0.019194324,0.0061036795,0.5863381,False
2014,3186,0.02329186,0.018170873,0.019940915,0.0067099445,0.4334783,False
2015,3112,0.023256814,0.019426722,0.01961172,0.006565894,0.5379416,False
2016,2870,0.024774244,0.020998986,0.020709869,0.006668191,0.38508034,False
2017,4150,0.032343585,0.027209694,0.026312413,0.006467072,0.43425915,False
