year,labse_ordinary_swd,labse_ordinary_drift,distilbert_ordinary_swd,distilbert_ordinary_drift
2006,0.1108932749604774,True,0.1786506980768538,True
2007,0.1163147340069283,True,0.2063918666924416,True
2008,0.1541813589544974,True,0.2159860966289208,True
2009,0.129250481600824,True,0.2299222701735399,True
2010,0.1405368870626316,True,0.2328288918357459,True
2011,0.1212526627273547,True,0.2198352926002,True
2012,0.1352420709862328,True,0.2287025546807269,True
2013,0.1283193625103066,True,0.2122254944005604,True
2014,0.1198972664559147,True,0.1998770871465815,True
2015,0.132014385244797,True,0.2047942116701787,True
2016,0.1395190442976166,True,0.2101181102656573,True
2017,0.1031646495242262,True,0.11100980455282,True
2018,0.1415458637111916,True,0.1481089510019662,True
