year,labse_latent_swd,labse_latent_drift,distilbert_latent_swd,distilbert_latent_drift
2006,0.116569755746267,True,0.1157246769129863,True
2007,0.1322427119501618,True,0.1448802412609553,True
2008,0.1536457326318147,True,0.1497286162978235,True
2009,0.1338534201411401,True,0.1513329506934006,True
2010,0.1649744355916391,True,0.1638835065312871,True
2011,0.1629376230843219,True,0.1568339338303229,True
2012,0.1601413771612508,True,0.151615814814678,True
2013,0.1533080206669928,True,0.1438845456549771,True
2014,0.1569018659322441,True,0.1507149006072538,True
2015,0.1658456695639418,True,0.1444233173972267,True
2016,0.1566840457416823,True,0.1540697572139264,True
2017,0.1267206539053554,True,0.096175140120137,True
2018,0.1429051863093511,True,0.1195049699262254,True
