year,minilm_ordinary_swd,minilm_ordinary_drift,distilbert_ordinary_swd,distilbert_ordinary_drift
2006,0.0892275590229455,True,0.1786506980768538,True
2007,0.0994366386859057,True,0.2063918666924416,True
2008,0.1760055092266327,True,0.2159860966289208,True
2009,0.1096223433314906,True,0.2299222701735399,True
2010,0.1243630120594996,True,0.2328288918357459,True
2011,0.1209492347668309,True,0.2198352926002,True
2012,0.1237624715614737,True,0.2287025546807269,True
2013,0.1125075414208244,True,0.2122254944005604,True
2014,0.1253504731278979,True,0.1998770871465815,True
2015,0.124072139128003,True,0.2047942116701787,True
2016,0.1328889548075053,True,0.2101181102656573,True
2017,0.1147587490660229,True,0.11100980455282,True
2018,0.1366845596601427,True,0.1481089510019662,True
