year,ordinary_swd,ordinary_z,ordinary_drift_95,latent_swd,latent_z,latent_drift_95
2006,0.1108932749604774,134.04701437811408,True,0.116569755746267,83.8555998227401,True
2007,0.1163147340069283,141.9007120390465,True,0.1322427119501618,97.18871240342403,True
2008,0.1541813589544974,196.75550688856532,True,0.1536457326318147,115.39643790222118,True
2009,0.129250481600824,160.63984660598558,True,0.1338534201411401,98.55895509188426,True
2010,0.1405368870626316,176.98969180748378,True,0.1649744355916391,125.03385856437616,True
2011,0.1212526627273547,149.05395232163278,True,0.1629376230843219,123.30112543397566,True
2012,0.1352420709862328,169.3194531728299,True,0.1601413771612508,120.9223360587893,True
2013,0.1283193625103066,159.2909979361734,True,0.1533080206669928,115.10914355977314,True
2014,0.1198972664559147,147.09048226026374,True,0.1569018659322441,118.16645724685192,True
2015,0.132014385244797,164.6437251556029,True,0.1658456695639418,125.77502446095046,True
2016,0.1395190442976166,175.51521247003888,True,0.1566840457416823,117.98115582156086,True
2017,0.1031646495242262,122.85108225156873,True,0.1267206539053554,92.4910522663927,True
2018,0.1415458637111916,178.45132740720632,True,0.1429051863093511,106.25936692260136,True
