epoch,loss
1,0.8698100235439148
2,0.7714045975271433
3,0.7077690623701315
4,0.6750561167133708
5,0.6454711272399787
6,0.6187754619809439
7,0.596552314907733
8,0.5817393924681153
9,0.5688016166517124
10,0.5567997257194802
11,0.5455616833981076
12,0.5363114466945182
13,0.5289002904304222
14,0.520554710615973
15,0.5126265842778608
16,0.5055585832146325
17,0.4994512469672215
18,0.4932621047826901
19,0.4878895521589552
20,0.4834185546937741
21,0.4792748349401298
22,0.4758965879573437
23,0.4725165979528898
24,0.4698339188889075
25,0.4669517099468486
26,0.4634736334266784
27,0.4607847075375481
28,0.4582327284538753
29,0.4562407952548299
30,0.4545192117952602
31,0.4517956152835476
32,0.4497461033447467
33,0.448374953535487
34,0.4457522316239897
35,0.444284614940504
36,0.4423170671584769
37,0.4407448667761237
38,0.4391112551718428
39,0.4371606509707844
40,0.435341453464004
