year,count,mean,std,median,min,max,drift_flag
2011,1284,0.03984534,0.012603238,0.038008034,0.013912405,0.13522944,False
2012,2096,0.04171107,0.012907205,0.04046697,0.016343046,0.15914392,False
2013,2942,0.040916298,0.014877438,0.03860466,0.016032347,0.27220613,False
2014,3186,0.042287566,0.015832925,0.040080264,0.0151802385,0.26575133,False
2015,3112,0.042618975,0.01568893,0.04021327,0.015658502,0.2931751,False
2016,2870,0.04427236,0.018383317,0.040605657,0.013584143,0.19630185,False
2017,4150,0.05341851,0.027354343,0.047849715,0.016206577,0.44741422,False
