year,count,mean,std,median,min,max,drift_flag
2011,17814,0.50354016,0.13109829,0.49022824,0.15019992,1.216103,True
2012,23099,0.50494224,0.13190952,0.4916165,0.1752273,1.4431009,True
2013,29003,0.50495356,0.13308083,0.49194297,0.17720246,1.700263,True
2014,30602,0.51569784,0.14127393,0.49949056,0.15957178,1.7887162,True
2015,33263,0.5160548,0.13890174,0.50086266,0.18167786,1.7920084,True
2016,28573,0.5147854,0.13969378,0.49901238,0.16890167,1.5825378,True
2017,38648,0.5752275,0.18638384,0.5456866,0.16191167,2.514499,True
2018,375,0.6613756,0.28762743,0.5913479,0.23287351,2.223673,True
