year,count,mean,std,median,min,max,drift_flag
2011,1284,0.048034497,0.018334532,0.04497905,0.012125705,0.1277089,False
2012,2096,0.05331329,0.021644885,0.05063999,0.008968454,0.28798985,False
2013,2942,0.048967544,0.022131562,0.045179036,0.011109702,0.4170506,False
2014,3186,0.04925176,0.021612857,0.045107126,0.010868533,0.26730084,False
2015,3112,0.050852757,0.0228927,0.0461334,0.009490116,0.31200105,False
2016,2870,0.050769612,0.023176983,0.046122953,0.010714784,0.33064276,False
2017,4150,0.053860683,0.02299594,0.051166832,0.011301616,0.5273287,False
