year,ordinary_swd,ordinary_z,ordinary_drift_95,latent_swd,latent_z,latent_drift_95
2006,0.0892275590229455,110.7838353914646,True,0.1478717067134998,71.8705474610356,True
2007,0.0994366386859057,126.6977008725721,True,0.1774232648657561,88.87848776708447,True
2008,0.1760055092266327,246.05289703646923,True,0.2762673595730943,145.76667125054985,True
2009,0.1096223433314906,142.57512948626257,True,0.1685053802962029,83.74593781375438,True
2010,0.1243630120594996,165.55281474130015,True,0.2523601935608466,132.00727317319107,True
2011,0.1209492347668309,160.2314347137653,True,0.2348003053521613,121.9009522511111,True
2012,0.1237624715614737,164.61669503050825,True,0.2401564390284779,124.98359179819217,True
2013,0.1125075414208244,147.07256273155218,True,0.2402926701390846,125.06199749798938,True
2014,0.1253504731278979,167.09206442188935,True,0.2219053820097395,114.47947940257224,True
2015,0.124072139128003,165.09940338035975,True,0.2186903168201822,112.6290985684276,True
2016,0.1328889548075053,178.84301429608018,True,0.2310657422766903,119.75158247745888,True
2017,0.1147587490660229,150.58173464699018,True,0.2164887684530243,111.36203159968838,True
2018,0.1366845596601427,184.7595853326898,True,0.236618851812857,122.94758842128972,True
