epoch,loss
1,0.8595150680261846
2,0.7145337239346518
3,0.6536424256969702
4,0.619472517833212
5,0.5945654785704171
6,0.5749156678748188
7,0.5594531147438163
8,0.5467565769709981
9,0.5371912651258819
10,0.5288869604377262
11,0.5216990368280272
12,0.5148874471318484
13,0.5093825952176511
14,0.5037099379003477
15,0.4993843867702702
16,0.4952906172749109
17,0.4915163572829248
18,0.4878696494486464
19,0.4850152960766773
20,0.4819725966187043
21,0.4789838029732982
22,0.4761801186522775
23,0.4738215966228191
24,0.4706644164421118
25,0.4687744885081966
26,0.4655614587686497
27,0.4634268420207014
28,0.4611504683060577
29,0.4586461279887691
30,0.4566128579335098
31,0.4547963319102062
32,0.4529484349970421
33,0.4507346194884593
34,0.4487359953903315
35,0.4474261259473118
36,0.4460745637844947
37,0.4444104113326905
38,0.4430748489346841
39,0.4417643086121238
40,0.4399829241824662
